question_id,paragraph_id,answers
0,[0],['2003']
1,[0],['Dangerously in Love']
2,[0],['Mathew Knowles']
3,[0],['late 1990s']
4,[0],['lead singer']
5,[0],['2003']
6,[0],['five']
7,[0],['Dangerously in Love']
8,[1],['acting']
9,[1],['Beyoncé']
10,[1],['Cadillac Records']
11,[1],['June 2005']
12,[1],"[""B'Day""]"
13,[1],['Dreamgirls']
14,[1],['Jay Z']
15,[1],['Sasha Fierce']
16,[2],"['love, relationships, and monogamy']"
17,[2],['influential']
18,[2],['2000s']
19,[2],['Forbes']
20,[2],['2013 and 2014']
21,[2],['118 million']
22,[2],['60 million']
23,[2],['118 million']
24,[2],['20']
25,[3],['African-American']
26,[3],['Methodist']
27,[3],['Xerox']
28,[3],['hairdresser and salon owner']
29,[3],['Solange']
30,[3],['Joseph Broussard']
31,[3],['Xerox']
32,[3],['salon']
33,[3],['Solange']
34,[3],['Joseph Broussard.']
35,[4],['Fredericksburg']
36,[4],['Darlette Johnson']
37,[4],['Houston']
38,[4],['dance instructor Darlette Johnson']
39,[4],['music magnet school']
40,[4],['Fredericksburg']
41,[4],['Darlette Johnson']
42,[4],['seven']
43,[5],"[""Beyoncé's father""]"
44,[5],['Elektra Records']
45,[5],['Sony Music']
46,[5],['Elektra Records']
47,[5],['age eight']
48,[5],['Arne Frager']
49,[5],['1995']
50,[5],"[""Dwayne Wiggins's Grass Roots Entertainment""]"
51,[6],['Men in Black']
52,[6],"['""Say My Name""']"
53,[6],['Marc Nelson']
54,[6],['1996']
55,[6],['Say My Name']
56,[6],['Marc Nelson']
57,[6],['Book of Isaiah.']
58,[6],"['No, No, No']"
59,[6],['Marc Nelson']
60,[7],['boyfriend left her']
61,[7],['split with Luckett and Rober']
62,[7],['her mother']
63,[7],['Farrah Franklin and Michelle Williams.']
64,[7],['Beyoncé']
65,[7],['Farrah Franklin']
66,[8],"['663,000 copies']"
67,[8],['Survivor']
68,[8],['Carmen: A Hip Hopera']
69,[8],['Survivor']
70,[9],"['UK, Norway, and Belgium']"
71,[9],['The Fighting Temptations']
72,[9],['Summertime']
73,[9],['73 million']
74,[9],['Fighting Temptations']
75,[9],['Austin Powers in Goldmember']
76,[9],['Foxxy Cleopatra']
77,[9],['Work It Out']
78,[9],['The Fighting Temptations']
79,[10],['number four']
80,[10],['Dangerously in Love']
81,[10],['Jay Z']
82,[10],['Dangerously in Love']
83,[10],['number four']
84,[10],['Luther Vandross']
85,[10],"['June 24, 2003']"
86,[10],['five.']
87,[11],['Destiny Fulfilled']
88,[11],['2006']
89,[11],['November 2003']
90,[11],['Destiny Fulfilled']
91,[11],['Barcelona']
92,[11],['March 2006']
93,[11],['Dangerously in Love Tour']
94,[11],['Missy Elliott and Alicia Keys']
95,[11],['Super Bowl XXXVIII']
96,[11],['Destiny Fulfilled.']
97,[12],"['541,000']"
98,[12],['Déjà Vu']
99,[12],['five']
100,[12],['Jay Z']
101,[12],['top five']
102,[12],"[""B'Day""]"
103,[12],"['541,000']"
104,[12],['Jay Z']
105,[12],['Green Light']
106,[13],['The Pink Panther']
107,[13],['Dreamgirls']
108,[13],['2007']
109,[13],['24 million']
110,[13],['158.8 million']
111,[13],['Shakira']
112,[13],['Listen']
113,[13],['Shakira']
114,[14],['Jay Z']
115,[14],"['November 18, 2008']"
116,[14],['Taylor Swift']
117,[14],['119.5 million']
118,[14],['in a video montage']
119,[14],['Taylor Swift']
120,[14],"['April 4, 2008']"
121,[14],['Jay Z.']
122,[14],['Sasha Fierce']
123,[14],['Kanye West']
124,[15],['Etta James']
125,[15],['Phoenix House']
126,[15],['thriller']
127,[15],['Phoenix House']
128,[15],['Obsessed']
129,[15],['Etta James']
130,[15],['Phoenix House']
131,[15],['Obsessed.']
132,[16],['Lady Gaga']
133,[16],['six']
134,[16],['Mariah Carey']
135,[16],['ten nominations']
136,[16],['Lady Gaga']
137,[16],['Mariah Carey']
138,[16],['Lauryn Hill']
139,[16],['Lauryn Hill']
140,[16],['Lady Gaga']
141,[16],['Mariah Carey']
142,[17],['2010']
143,[17],['2010']
144,[17],['the Great Wall of China']
145,[17],['2010']
146,[17],['her mother']
147,[17],['During the break']
148,[17],['a hiatus']
149,[17],['her mother']
150,[17],['her father']
151,[17],['nine months']
152,[18],['2011']
153,[18],['Clinton Bush Haiti Fund']
154,[18],['The Huffington Post']
155,[18],['documents obtained by WikiLeaks']
156,[18],['The Huffington Post']
157,[18],['Glastonbury Festival']
158,[18],['Muammar Gaddafi.']
159,[18],['WikiLeaks']
160,[18],['Clinton Bush Haiti Fund.']
161,[19],['Love on Top']
162,[19],"[""New York's Roseland Ballroom""]"
